"","TP08A","TP08B","TP08C","TP08D","TP08E","TP08F","TP08G","TP08H","TP08J","TP08M","grp"
"436",5.56,8.89,7.78,7.78,8.89,7.78,7.78,7.78,6.67,7.78,3
"437",4.44,2.22,4.44,2.22,7.78,2.22,4.44,4.44,4.44,4.44,1
"438",8,7,9,10,7,8,10,7,9,9,3
"439",7,7,9,8,8,7,8,7,9,10,3
"440",7,8,7,7,10,10,8,7,9,9,3
"441",8,7,9,9,7,9,7,7,10,9,3
"442",5,6,4,4,6,4,6,5,4,5,1
"443",3.33,2.22,5.56,7.78,5.56,6.67,4.44,7.78,8.89,8.89,1
"444",7.78,10,10,7.78,8.89,8.89,7.78,8.89,10,7.78,3
"445",2.22,10,7.78,1.11,8.89,8.89,7.78,10,7.78,6.67,1
"446",5,5,5,5,4,4,5,5,5,5,1
"447",8,9,8,9,7,10,7,7,9,10,3
"448",10,10,10,4.44,10,10,10,10,4.44,10,3
"449",4,6,6,6,4,6,5,6,5,4,1
"450",10,10,10,7.78,10,10,10,10,10,10,3
"451",1.11,4.44,4.44,6.67,0,0,0,1.11,0,0,2
"452",6.67,8.89,5.56,2.22,6.67,10,5.56,10,3.33,4.44,1
"453",1,0,3,1,1,2,1,3,3,2,2
"454",1,2,3,2,3,0,1,2,2,0,2
"455",7.78,7.78,7.78,4.44,7.78,7.78,7.78,6.67,7.78,7.78,3
"456",7.78,3.33,6.67,3.33,8.89,7.78,6.67,8.89,5.56,8.89,1
"457",7.78,6.67,7.78,8.89,8.89,5.56,8.89,7.78,6.67,8.89,3
"458",6.67,8.89,10,6.67,10,10,8.89,10,10,4.44,3
"459",10,10,10,7.78,10,10,10,3.33,7.78,10,3
"460",8,10,8,7,7,9,7,10,10,9,3
"461",3.33,4.44,7.78,5.56,5.56,5.56,0,1.11,4.44,0,1
"462",6.67,8.89,4.44,0,10,8.89,8.89,7.78,8.89,10,3
"463",1.11,5.56,5.56,0,5.56,3.33,0,0,5.56,0,2
"464",7.78,10,10,6.67,10,10,10,10,7.78,10,3
"465",3,0,3,0,2,2,2,0,1,1,2
"466",3.33,1.11,4.44,7.78,8.89,7.78,6.67,7.78,6.67,4.44,1
"467",2,0,3,2,2,0,1,3,1,3,2
"468",4.44,4.44,4.44,0,4.44,3.33,7.78,7.78,3.33,2.22,1
"469",2.22,10,4.44,0,10,8.89,10,8.89,8.89,10,3
"470",4.44,4.44,3.33,4.44,6.67,7.78,2.22,2.22,6.67,8.89,1
"471",8,8,8,9,9,9,10,9,7,8,3
"472",8.89,10,8.89,6.67,10,7.78,8.89,8.89,7.78,8.89,3
"473",8.89,10,10,7.78,7.78,8.89,8.89,8.89,10,10,3
"474",2.22,10,7.78,5.56,10,8.89,10,10,7.78,8.89,3
"475",4,4,4,6,4,4,5,6,5,5,1
"476",7.78,10,10,4.44,10,10,7.78,7.78,5.56,7.78,3
"477",2,0,1,3,0,3,0,0,2,3,2
"478",1,0,3,1,2,2,2,2,1,2,2
"479",6.67,7.78,10,3.33,10,6.67,8.89,10,10,6.67,3
"480",10,10,9,8,7,8,8,10,7,9,3
"481",7.78,7.78,7.78,8.89,7.78,6.67,7.78,8.89,7.78,8.89,3
"482",10,8,10,9,10,9,8,8,7,7,3
"483",2.22,2.22,6.67,2.22,7.78,6.67,7.78,10,6.67,7.78,1
"484",9,10,7,8,9,8,8,10,10,7,3
"485",8,9,9,8,8,10,10,10,7,8,3
"486",2,0,1,3,1,2,3,0,2,2,2
"487",7.78,10,10,0,10,7.78,4.44,1.11,7.78,1.11,1
"488",5,6,4,6,4,5,6,6,5,6,1
"489",6.67,10,10,2.22,10,10,10,10,7.78,10,3
"490",7.78,10,7.78,4.44,8.89,6.67,7.78,8.89,5.56,8.89,3
"491",10,10,10,6.67,10,10,10,10,8.89,10,3
"492",0,0,0,4.44,10,0,0,4.44,10,0,2
"493",7.78,8.89,10,3.33,10,10,7.78,7.78,7.78,10,3
"494",8.89,10,10,5.56,8.89,6.67,7.78,10,8.89,10,3
"495",7.78,7.78,10,6.67,10,10,10,10,7.78,10,3
"496",5,5,5,5,4,5,4,5,5,5,1
"497",7,8,9,9,9,7,10,10,7,7,3
"498",4.44,4.44,4.44,6.67,7.78,4.44,4.44,4.44,4.44,7.78,1
"499",10,10,10,10,7.78,4.44,1.11,2.22,7.78,0,1
"500",10,10,10,10,10,10,10,10,10,10,3
"501",10,10,10,7.78,10,7.78,10,10,7.78,7.78,3
"502",2.22,4.44,2.22,2.22,5.56,2.22,4.44,4.44,2.22,0,2
"503",7.78,7.78,4.44,2.22,4.44,5.56,5.56,7.78,2.22,5.56,1
"504",5,4,5,6,4,4,6,4,5,6,1
"505",8,9,9,8,7,10,10,9,9,7,3
"506",1,1,1,0,0,3,0,3,0,0,2
"507",1.11,4.44,0,0,0,0,0,0,0,0,2
"508",7.78,10,4.44,10,10,10,10,10,10,10,3
"509",5,4,5,5,4,6,4,4,5,6,1
"510",4.44,8.89,1.11,2.22,10,8.89,7.78,8.89,7.78,7.78,1
"511",7,7,8,9,8,10,10,9,7,9,3
"512",5,4,5,6,4,4,6,4,4,5,1
"513",8.89,10,7.78,4.44,10,10,10,10,10,10,3
"514",2,2,1,0,1,3,1,1,0,2,2
"515",0,10,10,0,10,0,10,10,4.44,0,1
"516",7,9,7,9,10,10,8,10,8,10,3
"517",10,10,7,7,8,10,7,8,7,7,3
"518",7.78,7.78,7.78,8.89,10,10,10,10,8.89,8.89,3
"519",5.56,5.56,6.67,7.78,5.56,7.78,7.78,7.78,6.67,7.78,1
"520",5.56,6.67,8.89,4.44,10,8.89,7.78,6.67,6.67,7.78,3
"521",10,10,10,10,10,10,10,10,10,10,3
"522",6.67,6.67,6.67,6.67,7.78,6.67,7.78,6.67,7.78,6.67,1
"523",10,10,10,10,10,10,10,10,10,10,3
"524",6.67,6.67,10,3.33,10,7.78,7.78,5.56,4.44,3.33,1
"525",5.56,10,7.78,8.89,10,10,10,10,8.89,10,3
"526",10,10,10,7.78,10,8.89,8.89,10,7.78,10,3
"527",4,5,4,4,5,4,4,5,5,5,1
"528",3.33,4.44,4.44,2.22,0,0,0,1.11,2.22,1.11,2
"529",10,10,10,10,10,10,10,10,10,10,3
"530",4.44,7.78,7.78,7.78,7.78,6.67,6.67,7.78,6.67,7.78,1
"531",4.44,4.44,7.78,4.44,7.78,7.78,7.78,7.78,7.78,7.78,1
"532",5,4,6,4,6,6,5,6,5,4,1
"533",10,10,8.89,8.89,10,10,10,10,10,10,3
"534",6.67,10,10,7.78,10,8.89,10,10,8.89,10,3
"535",10,10,10,10,10,10,10,10,10,10,3
"536",0,1,3,1,0,3,1,2,0,0,2
"537",7.78,8.89,8.89,6.67,6.67,7.78,7.78,6.67,8.89,7.78,3
"538",8.89,10,10,10,10,10,10,10,10,10,3
"539",0,1,3,1,0,1,0,0,2,3,2
"540",7.78,10,10,8.89,10,10,10,10,10,10,3
"541",5,5,4,5,5,5,5,6,6,5,1
"542",10,9,8,7,9,8,9,10,8,10,3
"543",5.56,8.89,7.78,6.67,7.78,7.78,7.78,8.89,5.56,8.89,3
"544",7.78,8.89,10,6.67,10,10,10,7.78,7.78,10,3
"545",10,8.89,8.89,8.89,8.89,7.78,7.78,7.78,7.78,7.78,3
"546",4,4,6,6,6,5,5,6,6,6,1
"547",7.78,10,10,10,10,4.44,10,10,10,10,3
"548",7,8,8,7,9,10,9,9,7,8,3
"549",1,2,1,0,3,3,0,0,2,0,2
"550",7,7,9,7,10,9,10,9,10,10,3
"551",10,5.56,7.78,2.22,7.78,7.78,8.89,8.89,10,10,3
"552",0,8.89,7.78,6.67,10,8.89,10,8.89,7.78,8.89,3
"553",1,3,0,3,2,3,1,1,1,1,2
"554",4,5,5,6,6,4,4,6,6,5,1
"555",10,10,10,4.44,10,10,10,10,10,7.78,3
"556",10,10,8.89,8.89,10,10,8.89,10,10,10,3
"557",8.89,10,8.89,8.89,10,10,10,10,10,7.78,3
"558",4.44,6.67,7.78,3.33,7.78,7.78,8.89,6.67,6.67,6.67,1
"559",7.78,10,10,10,7.78,7.78,10,10,10,7.78,3
"560",1,2,2,2,1,2,1,3,2,3,2
"561",5.56,6.67,6.67,7.78,8.89,7.78,10,10,5.56,10,3
"562",5,6,5,5,4,4,6,6,5,6,1
"563",6.67,10,5.56,7.78,10,7.78,2.22,5.56,10,3.33,1
"564",8,7,9,9,10,7,7,10,7,9,3
"565",4,4,5,5,5,5,6,6,4,5,1
"566",8.89,8.89,8.89,6.67,8.89,8.89,8.89,8.89,6.67,8.89,3
"567",5.56,7.78,4.44,4.44,10,7.78,10,10,7.78,7.78,3
"568",4.44,7.78,5.56,7.78,10,8.89,8.89,7.78,7.78,7.78,3
"569",4.44,3,8.89,7.78,10,10,8.89,8.89,8.89,10,3
"570",10,10,10,10,10,10,10,10,10,10,3
"571",7.78,7.78,10,1.11,10,7.78,6.67,10,10,7.78,3
"572",4,5,6,6,4,5,6,5,5,4,1
"573",10,10,10,0,10,10,10,10,10,10,3
"574",4.44,4.44,10,0,10,8.89,6.67,10,10,10,3
"575",10,10,10,10,10,10,10,10,10,10,3
"576",7.78,7.78,10,0,10,10,10,10,10,10,3
"577",10,10,7.78,10,10,8.89,6.67,10,10,6.67,3
"578",5.56,7.78,5.56,6.67,7.78,6.67,6.67,6.67,7.78,6.67,1
"579",3,1,0,0,1,1,1,2,3,2,2
"580",4,6,4,5,5,4,5,5,5,4,1
"581",10,10,10,10,10,10,10,10,10,10,3
"582",4.44,10,7.78,5.56,10,8.89,5.56,10,7.78,8.89,3
"583",10,10,10,6.67,10,10,10,10,10,10,3
"584",10,8,10,10,9,10,10,7,9,8,3
"585",8.89,10,8.89,8.89,10,10,10,10,10,10,3
"586",4,6,6,6,5,6,4,5,4,5,1
"587",8,8,7,8,7,8,7,8,10,10,3
"588",2,0,1,2,0,1,3,1,2,0,2
"589",4.44,10,10,7.78,10,10,10,10,6.67,4.44,3
"590",0,0,1,0,1,3,0,2,3,0,2
"591",6.67,10,6.67,5.56,5.56,5.56,5.56,5.56,4.44,0,1
"592",7,10,7,8,10,9,10,9,7,8,3
"593",4.44,10,4.44,10,10,10,10,10,10,10,3
"594",10,10,10,7.78,10,10,10,10,10,10,3
"595",0,0,1,3,3,0,2,2,3,0,2
"596",6.67,10,10,6.67,10,7.78,10,10,7.78,6.67,3
"597",7.78,8.89,7.78,6.67,6.67,6.67,8.89,7.78,6.67,7.78,3
"598",6.67,7.78,8.89,4.44,7.78,7.78,5.56,6.67,7.78,5.56,1
"599",8,9,9,9,9,7,9,8,9,7,3
"600",4.44,5.56,7.78,2.22,10,10,10,10,10,10,3
"601",3.33,5.56,1.11,3.33,1.11,0,4.44,1.11,8.89,0,2
"602",7.78,7.78,4.44,2.22,7.78,5.56,5.56,6.67,3.33,4.44,1
"603",8.89,5.56,7.78,10,10,8.89,2.22,8.89,3.33,10,3
"604",0,3,3,1,0,0,0,0,1,3,2
"605",10,10,4.44,10,10,10,10,10,10,10,3
"606",5,6,6,4,5,5,5,6,5,5,1
"607",10,9,10,9,7,9,10,9,7,10,3
"608",10,10,10,8.89,10,10,10,10,10,10,3
"609",1,1,3,3,3,1,0,2,2,1,2
"610",10,10,10,10,10,10,10,10,10,10,3
"611",2,2,2,0,2,3,1,2,1,2,2
"612",2.22,10,10,0,10,4.44,1.11,2.22,10,0,1
"613",7,9,9,10,9,7,7,10,10,10,3
"614",1,2,1,1,1,3,3,3,2,0,2
"615",8.89,10,5.56,2.22,10,7.78,6.67,10,3.33,8.89,3
"616",4.44,5.56,3.33,5.56,10,7.78,10,10,8.89,8.89,3
"617",8.89,8.89,10,7.78,10,8.89,7.78,10,8.89,10,3
"618",4.44,6.67,6.67,2.22,10,8.89,8.89,10,10,6.67,3
"619",3,1,2,2,0,0,2,3,2,2,2
"620",7,9,9,8,8,9,10,10,7,9,3
"621",10,10,8.89,8.89,10,10,10,8.89,10,10,3
"622",4.44,7.78,6.67,0,10,4.44,7.78,10,0,10,1
"623",10,10,10,10,10,10,10,10,10,10,3
"624",0,10,6.67,4.44,10,10,10,8.89,8.89,8.89,3
"625",10,10,10,10,10,10,10,10,10,10,3
"626",10,8.89,8.89,8.89,10,10,10,10,10,10,3
"627",0,2,0,3,1,0,3,2,2,2,2
"628",2,1,1,2,3,2,2,3,0,2,2
"629",10,10,10,7.78,10,10,10,10,10,10,3
"630",2,0,0,0,0,2,1,3,3,0,2
"631",1.11,10,7.78,10,10,10,10,10,10,10,3
"632",7.78,8.89,10,6.67,8.89,7.78,3.33,7.78,5.56,0,1
"633",10,10,10,10,10,10,10,10,10,10,3
"634",2.22,3,2.22,6.67,8.89,7.78,7.78,6.67,6.67,8.89,1
"635",3.33,4.44,6.67,2.22,6.67,5.56,4.44,1.11,4.44,1.11,1
"636",6,6,5,6,5,6,4,4,5,5,1
"637",9,8,9,10,8,7,10,7,7,9,3
"638",1,0,2,2,0,3,2,1,1,0,2
"639",7.78,10,8.89,7.78,10,8.89,7.78,10,7.78,10,3
"640",2,1,1,3,2,2,2,2,3,2,2
"641",10,10,10,10,10,10,10,10,10,10,3
"642",10,10,10,10,10,10,10,10,10,10,3
"643",6,5,6,5,6,4,5,6,5,4,1
"644",10,10,9,7,9,10,8,7,7,7,3
"645",10,8,9,7,10,7,8,10,9,8,3
"646",10,10,10,10,10,10,10,10,10,10,3
"647",4.44,1.11,4.44,4.44,10,7.78,7.78,7.78,7.78,4.44,1
"648",2.22,2.22,4.44,1.11,2.22,3.33,0,1.11,4.44,3.33,2
"649",3,1,0,2,1,3,2,2,0,2,2
"650",10,10,10,6.67,10,10,10,10,10,10,3
"651",10,10,10,4.44,10,10,10,10,10,4.44,3
"652",5,6,5,5,6,4,4,4,4,5,1
"653",10,10,10,0,10,10,10,10,10,10,3
"654",6.67,7.78,8.89,6.67,8.89,8.89,8.89,10,8.89,10,3
"655",8.89,10,10,8.89,10,8.89,10,10,10,8.89,3
"656",2,3,1,1,2,3,2,0,2,2,2
"657",9,7,8,9,9,7,7,10,8,10,3
"658",10,10,10,10,10,10,10,10,10,10,3
"659",0,1,2,2,3,1,1,1,1,2,2
"660",10,10,4.44,10,10,10,10,10,10,10,3
"661",3,3,0,1,3,3,1,1,3,2,2
"662",7.78,10,10,5.56,7.78,8.89,7.78,7.78,8.89,7.78,3
"663",4.44,8.89,8.89,5.56,7.78,10,8.89,10,7.78,10,3
"664",10,10,8.89,10,8.89,8.89,10,8.89,7.78,8.89,3
"665",7.78,8.89,8.89,10,10,8.89,8.89,7.78,6.67,8.89,3
"666",2.22,2.22,3.33,1.11,8.89,7.78,10,5.56,10,7.78,1
"667",7.78,10,4.44,4.44,10,10,10,10,10,10,3
"668",4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,1
"669",7,8,8,8,8,9,9,9,10,7,3
"670",8.89,8.89,8.89,10,10,10,10,10,8.89,10,3
"671",5.56,5.56,5.56,6.67,7.78,7.78,6.67,6.67,6.67,7.78,1
"672",4.44,6.67,10,4.44,6.67,6.67,6.67,10,10,10,3
"673",10,10,10,10,10,10,10,10,10,10,3
"674",3,0,2,3,1,1,2,2,3,0,2
"675",6.67,7.78,3.33,3.33,7.78,10,5.56,6.67,4.44,5.56,1
"676",5,6,6,4,4,6,4,4,4,6,1
"677",9,9,8,7,10,9,7,8,8,10,3
"678",0,7.78,7.78,4.44,10,7.78,0,0,4.44,7.78,1
"679",1.11,10,7.78,0,8.89,4.44,7.78,8.89,1.11,4.44,1
"680",7.78,3,10,5.56,10,10,7.78,7.78,10,10,3
"681",4,4,5,6,6,5,6,5,5,6,1
"682",1.11,4.44,4.44,2.22,4.44,3.33,4.44,4.44,3.33,1.11,2
"683",3.33,5.56,7.78,2.22,5.56,4.44,6.67,5.56,7.78,7.78,1
"684",5.56,6.67,4.44,6.67,8.89,8.89,4.44,5.56,0,0,1
"685",4,4,5,5,4,6,4,6,6,4,1
"686",7.78,10,10,10,10,10,10,8.89,7.78,7.78,3
"687",6,4,4,6,5,4,4,6,4,6,1
"688",1.11,10,10,10,10,0,10,10,10,0,1
"689",7.78,6.67,7.78,4.44,8.89,5.56,7.78,7.78,5.56,7.78,1
"690",0,0,0,4.44,6.67,6.67,6.67,6.67,6.67,6.67,1
"691",8.89,8.89,8.89,8.89,10,10,8.89,10,8.89,10,3
"692",1.11,0,1.11,4.44,10,4.44,7.78,10,8.89,10,1
"693",1.11,3.33,3.33,0,7.78,5.56,5.56,5.56,2.22,3.33,1
"694",10,10,10,10,10,10,10,10,10,10,3
"695",3,2,2,3,1,0,2,2,2,0,2
"696",10,10,10,10,10,10,10,10,10,10,3
"697",5.56,10,4.44,2.22,10,5.56,6.67,10,6.67,7.78,1
"698",8.89,8.89,10,7.78,10,10,10,10,8.89,10,3
"699",7.78,10,10,7.78,10,8.89,8.89,10,8.89,10,3
"700",4,4,4,5,5,6,5,5,5,4,1
"701",3.33,8.89,8.89,3.33,10,5.56,5.56,7.78,5.56,5.56,1
"702",0,0,1,0,1,1,3,2,0,1,2
"703",7.78,7.78,6.67,8.89,10,8.89,10,8.89,8.89,7.78,3
"704",7.78,6.67,10,10,10,10,10,7.78,10,6.67,3
"705",9,7,10,9,10,10,9,7,7,10,3
"706",10,10,10,4.44,10,10,10,10,4.44,10,3
"707",7.78,10,6.67,4.44,8.89,10,8.89,8.89,10,7.78,3
"708",2,1,1,1,0,1,0,1,1,2,2
"709",7.78,7.78,6.67,4.44,10,10,10,10,8.89,10,3
"710",8.89,7.78,8.89,8.89,10,10,10,10,10,10,3
"711",6,4,5,6,6,4,4,4,6,6,1
"712",0,10,10,0,10,10,10,10,10,10,3
"713",2.22,4.44,4.44,0,2.22,0,0,2.22,0,0,2
"714",7.78,10,10,7.78,7.78,6.67,6.67,7.78,4.44,10,3
"715",4.44,2.22,3.33,8.89,10,4.44,10,4.44,4.44,10,1
"716",5.56,5.56,4.44,6.67,10,7.78,6.67,10,6.67,5.56,1
"717",4.44,6.67,5.56,4.44,6.67,6.67,6.67,6.67,5.56,4.44,1
"718",8.89,10,7.78,5.56,10,7.78,10,10,8.89,7.78,3
"719",5,4,5,4,4,5,4,5,6,6,1
"720",8,9,7,7,10,9,7,9,9,8,3
"721",0,4.44,4.44,6.67,10,6.67,2.22,0,4.44,0,1
"722",7.78,7.78,10,8.89,10,8.89,8.89,10,8.89,10,3
"723",4.44,6.67,8.89,6.67,6.67,5.56,6.67,4.44,7.78,4.44,1
"724",2,2,0,1,1,0,2,1,2,1,2
"725",8,7,10,7,8,10,10,8,7,8,3
"726",1,0,1,3,2,2,3,1,0,3,2
"727",5.56,7.78,8.89,6.67,10,10,10,10,7.78,10,3
"728",0,0,10,10,0,10,10,0,10,10,1
"729",5.56,10,5.56,3.33,7.78,6.67,7.78,7.78,10,6.67,1
"730",10,10,10,7.78,10,10,10,10,10,10,3
"731",8.89,10,10,7.78,10,8.89,10,10,8.89,10,3
"732",10,10,10,10,10,10,10,10,10,10,3
"733",3,2,0,2,2,0,3,3,3,3,2
"734",10,10,9,9,10,9,9,9,7,8,3
"735",8.89,7.78,7.78,5.56,7.78,5.56,5.56,5.56,5.56,5.56,1
"736",10,10,10,10,10,10,10,10,10,10,3
"737",2.22,4.44,5.56,2.22,6.67,3.33,3.33,7.78,4.44,7.78,1
"738",5.56,7.78,5.56,7.78,10,4.44,7.78,7.78,7.78,7.78,3
"739",8.89,8.89,6.67,3.33,6.67,7.78,5.56,4.44,7.78,6.67,1
"740",6.67,10,7.78,4.44,10,7.78,10,7.78,7.78,7.78,3
"741",5.56,10,7.78,6.67,10,8.89,8.89,10,6.67,10,3
"742",10,6.67,7.78,8.89,8.89,8.89,8.89,8.89,8.89,10,3
"743",10,10,10,7.78,10,10,10,10,8.89,10,3
"744",1.11,6.67,8.89,10,10,10,10,10,6.67,10,3
"745",3,0,3,3,3,3,2,0,2,2,2
"746",10,0,2.22,1.11,5.56,7.78,10,0,10,3.33,1
"747",7.78,7.78,6.67,4.44,8.89,7.78,7.78,7.78,6.67,7.78,3
"748",3.33,4.44,4.44,3.33,4.44,3.33,3.33,3.33,4.44,3.33,1
"749",6.67,6.67,4.44,0,7.78,7.78,4.44,5.56,7.78,4.44,1
"750",0,1,3,3,0,3,0,1,2,3,2
"751",4,4,4,6,5,5,4,5,5,4,1
"752",5,4,6,6,6,6,5,4,6,5,1
"753",10,10,10,7.78,10,10,7.78,10,10,8.89,3
"754",4.44,7.78,7.78,4.44,8.89,7.78,7.78,6.67,8.89,1.11,1
"755",8.89,10,8.89,7.78,10,8.89,8.89,8.89,8.89,8.89,3
"756",4,4,4,5,4,4,5,6,5,4,1
"757",4.44,6.67,4.44,2.22,7.78,6.67,7.78,7.78,4.44,7.78,1
"758",8.89,10,7.78,10,10,10,5.56,5.56,8.89,5.56,3
"759",10,8.89,7.78,6.67,8.89,7.78,7.78,7.78,8.89,8.89,3
"760",8.89,10,10,8.89,10,8.89,7.78,10,10,10,3
"761",2,0,0,2,0,0,1,1,1,0,2
"762",10,10,10,10,10,10,10,10,10,10,3
"763",4,5,4,5,6,6,6,4,4,5,1
"764",4.44,4.44,6.67,3.33,5.56,5.56,6.67,5.56,3.33,1.11,1
"765",6.67,10,7.78,6.67,8.89,7.78,8.89,7.78,7.78,6.67,3
"766",10,10,10,8.89,10,8.89,10,10,10,10,3
"767",10,10,10,10,10,10,10,10,10,10,3
"768",10,10,8.89,8.89,5.56,5.56,10,8.89,10,10,3
"769",7.78,10,4.44,6.67,10,10,10,10,8.89,10,3
"770",4.44,7.78,6.67,3.33,6.67,6.67,6.67,7.78,4.44,4.44,1
"771",7.78,7.78,7.78,7.78,8.89,7.78,6.67,7.78,7.78,7.78,3
"772",7.78,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,3
"773",10,4.44,10,10,10,10,10,10,10,10,3
"774",6,5,5,6,6,6,4,5,4,5,1
"775",7.78,10,10,6.67,10,10,10,10,8.89,10,3
"776",6,4,4,5,5,4,6,4,5,6,1
"777",10,7.78,4.44,7.78,10,10,8.89,10,8.89,8.89,3
"778",10,10,10,8.89,10,10,10,10,10,10,3
"779",6,4,6,5,5,5,5,4,5,4,1
"780",0,1.11,4.44,0,4.44,1.11,1.11,2.22,0,0,2
"781",1.11,4.44,7.78,5.56,10,7.78,10,8.89,10,10,3
"782",9,9,8,7,8,10,8,9,8,8,3
"783",7,9,10,10,9,8,10,10,9,8,3
"784",4,6,4,5,6,4,6,6,5,4,1
"785",0,10,10,2.22,10,7.78,8.89,10,7.78,8.89,3
"786",5.56,6.67,6.67,6.67,6.67,5.56,5.56,5.56,5.56,4.44,1
"787",7.78,10,6.67,8.89,10,10,8.89,3.33,7.78,7.78,3
"788",8.89,8.89,10,7.78,8.89,8.89,10,10,8.89,8.89,3
"789",8.89,8.89,8.89,8.89,10,10,10,7.78,8.89,10,3
"790",7,9,10,7,9,10,9,9,8,10,3
"791",7.78,7.78,8.89,8.89,7.78,8.89,8.89,8.89,8.89,8.89,3
"792",9,8,9,10,7,8,9,9,7,7,3
"793",10,10,10,10,10,10,10,10,10,10,3
"794",10,10,10,10,10,10,10,10,10,10,3
"795",0,8.89,10,4.44,10,10,10,10,10,10,3
"796",4,5,4,4,6,4,4,6,6,6,1
"797",3,0,0,2,0,2,0,1,1,3,2
"798",0,4.44,1.11,2.22,2.22,2.22,1.11,2.22,2.22,0,2
"799",6,5,6,5,6,5,6,5,6,5,1
"800",0,2,3,0,3,1,3,3,0,0,2
"801",7.78,10,8.89,6.67,10,10,10,10,10,7.78,3
"802",7.78,7.78,5.56,6.67,6.67,8.89,6.67,7.78,6.67,7.78,3
"803",5.56,6.67,5.56,6.67,7.78,7.78,7.78,7.78,7.78,3.33,1
"804",8.89,4.44,4.44,4.44,8.89,8.89,8.89,8.89,8.89,10,3
"805",10,10,10,4.44,10,6.67,6.67,10,10,4.44,3
"806",10,7,8,8,9,7,9,9,10,10,3
"807",2,0,0,2,1,3,2,3,3,3,2
"808",10,8,8,7,9,7,10,10,10,7,3
"809",4.44,10,8.89,6.67,10,10,10,10,7.78,10,3
"810",10,10,10,10,10,10,10,10,10,10,3
"811",7.78,8.89,10,1.11,10,7.78,5.56,8.89,1.11,8.89,1
"812",10,10,10,7.78,10,10,10,10,7.78,10,3
"813",4.44,7.78,7.78,7.78,7.78,7.78,8.89,8.89,7.78,10,3
"814",3,0,0,3,3,0,2,2,2,2,2
"815",1,3,0,2,3,2,1,1,2,1,2
"816",7.78,8.89,10,7.78,10,8.89,5.56,8.89,7.78,5.56,3
"817",10,8.89,10,10,10,10,10,10,10,10,3
"818",4.44,7.78,5.56,1.11,8.89,7.78,10,10,7.78,7.78,3
"819",0,3,3,0,0,1,3,3,1,0,2
"820",10,10,10,10,10,10,10,10,10,10,3
"821",5.56,7.78,7.78,10,4.44,7.78,7.78,7.78,10,7.78,3
"822",7.78,7.78,8.89,6.67,7.78,8.89,6.67,8.89,7.78,7.78,3
"823",4.44,10,10,4.44,5.56,10,10,10,5.56,4.44,3
"824",10,10,10,8.89,10,10,10,10,8.89,10,3
"825",3.33,5.56,5.56,0,6.67,0,0,0,4.44,0,2
"826",7.78,10,8.89,4.44,10,10,10,10,7.78,10,3
"827",4,5,4,4,6,4,5,4,6,6,1
"828",4.44,5.56,7.78,1.11,6.67,2.22,4.44,0,3.33,1.11,1
"829",4.44,10,8.89,2.22,7.78,10,7.78,4.44,3.33,6.67,1
"830",4.44,4.44,4.44,4.44,6.67,4.44,6.67,6.67,4.44,3.33,1
"831",7,9,10,7,8,10,7,9,9,8,3
"832",4.44,10,8.89,6.67,10,8.89,8.89,8.89,8.89,8.89,3
"833",10,10,10,10,10,10,10,10,10,10,3
"834",8,9,8,10,9,9,10,8,7,9,3
"835",2.22,0,6.67,10,10,10,8.89,8.89,7.78,8.89,3
"836",4,4,5,4,4,5,5,5,5,4,1
"837",4.44,7.78,10,7.78,10,10,10,10,10,10,3
"838",1,0,3,1,1,1,0,3,2,1,2
"839",6,4,4,5,5,4,4,4,6,4,1
"840",10,10,7.78,10,10,10,10,10,10,7.78,3
"841",6,5,5,5,6,5,5,5,6,4,1
"842",6,5,6,6,5,4,5,5,5,6,1
"843",4.44,8.89,7.78,8.89,8.89,10,7.78,10,6.67,6.67,3
"844",3,3,0,0,2,0,3,2,2,0,2
"845",5,5,6,5,5,5,4,6,4,6,1
"846",8,7,8,8,8,8,7,8,7,8,3
"847",7,8,8,9,9,7,8,8,10,7,3
"848",7.78,7.78,8.89,10,10,10,10,10,10,10,3
"849",7.78,8.89,5.56,6.67,8.89,8.89,5.56,7.78,8.89,4.44,3
"850",7.78,10,10,7.78,8.89,7.78,8.89,8.89,8.89,8.89,3
"851",7.78,10,8.89,10,10,10,7.78,7.78,10,8.89,3
"852",2,2,0,0,0,1,0,0,0,3,2
"853",6.67,7.78,7.78,4.44,10,6.67,7.78,7.78,6.67,10,3
"854",10,8.89,10,10,10,8.89,10,10,10,10,3
"855",0,0,10,0,0,0,0,0,0,0,2
"856",10,10,10,10,10,10,10,10,10,10,3
"857",5.56,5.56,7.78,3.33,7.78,5.56,5.56,7.78,5.56,5.56,1
"858",2,1,1,3,3,3,1,2,2,0,2
"859",9,9,7,10,8,8,7,10,9,10,3
"860",3,0,3,1,0,0,0,3,1,3,2
"861",7.78,3.33,6.67,7.78,5.56,5.56,7.78,7.78,6.67,7.78,1
"862",3,2,3,3,0,3,3,2,1,2,2
"863",10,10,10,10,10,10,4.44,7.78,4.44,0,3
"864",10,10,7.78,7.78,10,10,8.89,6.67,7.78,10,3
"865",7.78,10,8.89,6.67,8.89,7.78,8.89,8.89,6.67,10,3
"866",8,10,7,10,7,9,9,10,10,10,3
"867",1,0,2,2,1,1,3,0,1,0,2
